2024-08-11 15:53:48 status unpacked libgcc-s1:i386 10-20200411-0ubuntu1
2024-08-11 15:53:48 status half-configured libgcc-s1:i386 10-20200411-0ubuntu1
2024-08-11 15:53:48 status installed libgcc-s1:i386 10-20200411-0ubuntu1
2024-08-11 15:53:48 configure libc6:i386 2.31-0ubuntu9 <none>
2024-08-11 15:53:48 status unpacked libc6:i386 2.31-0ubuntu9
2024-08-11 15:53:48 status half-configured libc6:i386 2.31-0ubuntu9
2024-08-11 15:53:48 status installed libc6:i386 2.31-0ubuntu9
2024-08-11 15:53:49 configure libudev1:i386 245.4-4ubuntu3 <none>
2024-08-11 15:53:49 status unpacked libudev1:i386 245.4-4ubuntu3
2024-08-11 15:53:49 status half-configured libudev1:i386 245.4-4ubuntu3
2024-08-11 15:53:49 status installed libudev1:i386 245.4-4ubuntu3
2024-08-11 15:53:49 configure libsepol1:i386 3.0-1 <none>
2024-08-11 15:53:49 status unpacked libsepol1:i386 3.0-1
2024-08-11 15:53:49 status half-configured libsepol1:i386 3.0-1
2024-08-11 15:53:49 status installed libsepol1:i386 3.0-1
2024-08-11 15:53:49 configure libattr1:i386 1:2.4.48-5 <none>
2024-08-11 15:53:49 status unpacked libattr1:i386 1:2.4.48-5
2024-08-11 15:53:49 status half-configured libattr1:i386 1:2.4.48-5
2024-08-11 15:53:49 status installed libattr1:i386 1:2.4.48-5
2024-08-11 15:53:49 configure debianutils:i386 4.9.1 <none>
2024-08-11 15:53:49 status unpacked debianutils:i386 4.9.1
2024-08-11 15:53:49 status half-configured debianutils:i386 4.9.1
2024-08-11 15:53:49 status installed debianutils:i386 4.9.1
2024-08-11 15:53:49 configure mawk:i386 1.3.4.20200120-2 <none>
2024-08-11 15:53:49 status unpacked mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:49 status half-configured mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:49 status installed mawk:i386 1.3.4.20200120-2
2024-08-11 15:53:49 configure libdebconfclient0:i386 0.251ubuntu1 <none>
2024-08-11 15:53:49 status unpacked libdebconfclient0:i386 0.251ubuntu1
2024-08-11 15:53:50 status half-configured libdebconfclient0:i386 0.251ubuntu1
2024-08-11 15:53:50 status installed libdebconfclient0:i386 0.251ubuntu1
2024-08-11 15:53:50 configure base-files:i386 11ubuntu5 <none>
2024-08-11 15:53:50 status unpacked base-files:i386 11ubuntu5
2024-08-11 15:53:51 status half-configured base-files:i386 11ubuntu5
2024-08-11 15:53:51 status installed base-files:i386 11ubuntu5
2024-08-11 15:53:51 configure libbz2-1.0:i386 1.0.8-2 <none>
2024-08-11 15:53:51 status unpacked libbz2-1.0:i386 1.0.8-2
2024-08-11 15:53:51 status half-configured libbz2-1.0:i386 1.0.8-2
2024-08-11 15:53:51 status installed libbz2-1.0:i386 1.0.8-2
2024-08-11 15:53:51 configure base-passwd:i386 3.5.47 <none>
2024-08-11 15:53:51 status unpacked base-passwd:i386 3.5.47
2024-08-11 15:53:51 status half-configured base-passwd:i386 3.5.47
2024-08-11 15:53:51 status installed base-passwd:i386 3.5.47
2024-08-11 15:53:51 configure libdb5.3:i386 5.3.28+dfsg1-0.6ubuntu2 <none>
